Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_144714_667856,507.49,475.49,N/A
2,20250519_144715_479800,429.46,397.46,0.0
3,20250519_144715_898450,417.22,385.22,1.8
4,20250519_144716_317910,418.16,386.16,3.6
5,20250519_144716_739259,421.49,389.49,5.4
6,20250519_144717_186853,446.13,414.13,7.2
7,20250519_144717_662640,475.11,443.11,9.0
8,20250519_144718_099159,435.77,403.77,10.8
9,20250519_144718_525130,425.22,393.22,12.6
10,20250519_144718_948506,421.83,389.83,14.4
11,20250519_144719_367187,418.82,386.82,16.2
12,20250519_144719_791584,423.68,391.68,18.0
13,20250519_144720_217386,424.43,392.43,19.8
14,20250519_144720_652385,434.81,402.81,21.6
15,20250519_144721_078821,426.28,394.28,23.4
16,20250519_144721_509931,430.63,398.63,25.2
17,20250519_144721_936441,425.29,393.29,27.0
18,20250519_144722_368186,431.53,399.53,28.8
19,20250519_144722_801515,433.24,401.24,30.6
20,20250519_144723_224992,422.46,390.46,32.4
